year,gdp_per_capita_usd
2010,10674.990509757796
2011,14305.33194324009
2012,15401.851534062298
2013,15941.447847449626
2014,14276.769526372607
2015,9426.683024700389
2016,8804.484369329586
2017,10834.634449588371
2018,11398.558200347603
2019,11640.266033639075
2020,10279.695500479918
2021,12637.151217069022
2022,15887.831734016698
2023,14402.846861210686
